,train,val,test
177,test_107,,
178,test_109,,
179,test_112,,
180,test_115,,
181,test_118,,
182,test_119,,
183,test_120,,
184,test_123,,
185,test_125,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_001,,
192,test_004,,
193,test_010,,
194,test_011,,
195,test_013,,
196,test_016,,
197,test_021,,
198,test_026,,
199,test_029,,
200,test_030,,
201,test_033,,
202,test_038,,
203,test_040,,
204,test_046,,
205,test_048,,
206,test_051,,
207,test_061,,
208,test_064,,
209,test_065,,
210,test_066,,
211,test_068,,
212,test_069,,
213,test_073,,
214,test_074,,
215,test_075,,
216,test_082,,
217,test_084,,
218,test_090,,
219,test_097,,
220,test_099,,
221,test_102,,
222,test_104,,
223,test_105,,
224,test_108,,
225,test_110,,
226,test_113,,
227,test_116,,
228,test_117,,
229,test_122,,
230,tumor_001,,
231,tumor_002,,
232,tumor_005,,
233,tumor_007,,
234,tumor_008,,
235,tumor_009,,
236,tumor_010,,
237,tumor_011,,
238,tumor_012,,
239,tumor_014,,
240,tumor_015,,
241,tumor_016,,
242,tumor_017,,
243,tumor_018,,
244,tumor_020,,
245,tumor_022,,
246,tumor_023,,
247,tumor_024,,
248,tumor_027,,
249,tumor_028,,
250,tumor_030,,
251,tumor_031,,
252,tumor_032,,
253,tumor_033,,
254,tumor_034,,
255,tumor_035,,
256,tumor_036,,
257,tumor_038,,
258,tumor_039,,
259,tumor_040,,
260,tumor_042,,
261,tumor_043,,
262,tumor_044,,
263,tumor_045,,
264,tumor_046,,
265,tumor_047,,
266,tumor_048,,
267,tumor_050,,
268,tumor_052,,
269,tumor_053,,
270,tumor_054,,
271,tumor_055,,
272,tumor_056,,
273,tumor_058,,
274,tumor_059,,
275,tumor_061,,
276,tumor_062,,
277,tumor_063,,
278,tumor_064,,
279,tumor_065,,
280,tumor_066,,
281,tumor_068,,
282,tumor_069,,
283,tumor_071,,
284,tumor_072,,
285,tumor_073,,
286,tumor_075,,
287,tumor_076,,
288,tumor_077,,
289,tumor_079,,
290,tumor_080,,
291,tumor_081,,
292,tumor_083,,
293,tumor_084,,
294,tumor_085,,
295,tumor_086,,
296,tumor_087,,
297,tumor_088,,
298,tumor_089,,
299,tumor_090,,
300,tumor_091,,
301,tumor_092,,
302,tumor_093,,
303,tumor_094,,
304,tumor_095,,
305,tumor_096,,
306,tumor_097,,
307,tumor_099,,
308,tumor_100,,
309,tumor_101,,
310,tumor_102,,
311,tumor_103,,
312,tumor_104,,
313,tumor_105,,
314,tumor_106,,
315,tumor_107,,
316,tumor_108,,
317,tumor_110,,
318,tumor_111,,
