,train,val,test
284,tumor_072,,
285,tumor_073,,
286,tumor_074,,
287,tumor_076,,
288,tumor_077,,
289,tumor_078,,
290,tumor_079,,
291,tumor_082,,
292,tumor_083,,
293,tumor_084,,
294,tumor_085,,
295,tumor_086,,
296,tumor_087,,
297,tumor_088,,
298,tumor_089,,
299,tumor_090,,
300,tumor_092,,
301,tumor_093,,
302,tumor_094,,
303,tumor_095,,
304,tumor_096,,
305,tumor_097,,
306,tumor_098,,
307,tumor_099,,
308,tumor_101,,
309,tumor_102,,
310,tumor_103,,
311,tumor_104,,
312,tumor_105,,
313,tumor_106,,
314,tumor_107,,
315,tumor_108,,
316,tumor_109,,
317,tumor_110,,
318,tumor_111,,
