,train,val,test
251,tumor_033,,
252,tumor_034,,
253,tumor_035,,
254,tumor_036,,
255,tumor_037,,
256,tumor_039,,
257,tumor_040,,
258,tumor_041,,
259,tumor_043,,
260,tumor_044,,
261,tumor_045,,
262,tumor_046,,
263,tumor_047,,
264,tumor_048,,
265,tumor_050,,
266,tumor_051,,
267,tumor_052,,
268,tumor_053,,
269,tumor_055,,
270,tumor_056,,
271,tumor_057,,
272,tumor_058,,
273,tumor_059,,
274,tumor_060,,
275,tumor_061,,
276,tumor_062,,
277,tumor_063,,
278,tumor_064,,
279,tumor_065,,
280,tumor_066,,
281,tumor_067,,
282,tumor_068,,
283,tumor_069,,
284,tumor_070,,
285,tumor_071,,
286,tumor_072,,
287,tumor_073,,
288,tumor_074,,
289,tumor_075,,
290,tumor_076,,
291,tumor_077,,
292,tumor_078,,
293,tumor_079,,
294,tumor_080,,
295,tumor_081,,
296,tumor_082,,
297,tumor_084,,
298,tumor_085,,
299,tumor_086,,
300,tumor_087,,
301,tumor_088,,
302,tumor_089,,
303,tumor_090,,
304,tumor_091,,
305,tumor_093,,
306,tumor_094,,
307,tumor_095,,
308,tumor_096,,
309,tumor_097,,
310,tumor_098,,
311,tumor_099,,
312,tumor_100,,
313,tumor_103,,
314,tumor_104,,
315,tumor_105,,
316,tumor_106,,
317,tumor_107,,
318,tumor_111,,
