,train,val,test
82,normal_103,,
83,normal_104,,
84,normal_106,,
85,normal_107,,
86,normal_108,,
87,normal_109,,
88,normal_110,,
89,normal_112,,
90,normal_113,,
91,normal_114,,
92,normal_115,,
93,normal_116,,
94,normal_118,,
95,normal_120,,
96,normal_121,,
97,normal_122,,
98,normal_123,,
99,normal_127,,
100,normal_128,,
101,normal_129,,
102,normal_130,,
103,normal_132,,
104,normal_133,,
105,normal_134,,
106,normal_135,,
107,normal_136,,
108,normal_137,,
109,normal_139,,
110,normal_140,,
111,normal_141,,
112,normal_142,,
113,normal_143,,
114,normal_144,,
115,normal_145,,
116,normal_146,,
117,normal_147,,
118,normal_148,,
119,normal_150,,
120,normal_151,,
121,normal_154,,
122,normal_155,,
123,normal_156,,
124,normal_157,,
125,normal_158,,
126,normal_159,,
127,normal_160,,
128,test_003,,
129,test_005,,
130,test_007,,
131,test_012,,
132,test_014,,
133,test_015,,
134,test_017,,
135,test_019,,
136,test_020,,
137,test_022,,
138,test_023,,
139,test_025,,
140,test_028,,
141,test_031,,
142,test_035,,
143,test_036,,
144,test_037,,
145,test_041,,
146,test_042,,
147,test_043,,
148,test_044,,
149,test_045,,
150,test_047,,
151,test_053,,
152,test_056,,
153,test_057,,
154,test_058,,
155,test_059,,
156,test_060,,
157,test_062,,
158,test_063,,
159,test_067,,
160,test_070,,
161,test_072,,
162,test_077,,
163,test_078,,
164,test_080,,
165,test_081,,
166,test_083,,
167,test_085,,
168,test_086,,
169,test_087,,
170,test_088,,
171,test_089,,
172,test_091,,
173,test_093,,
174,test_096,,
175,test_098,,
176,test_100,,
177,test_103,,
178,test_109,,
179,test_111,,
180,test_112,,
181,test_115,,
182,test_119,,
183,test_123,,
184,test_124,,
185,test_125,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_001,,
192,test_002,,
193,test_004,,
194,test_008,,
195,test_010,,
196,test_013,,
197,test_016,,
198,test_027,,
199,test_030,,
200,test_033,,
201,test_038,,
202,test_040,,
203,test_051,,
204,test_052,,
205,test_064,,
206,test_066,,
207,test_068,,
208,test_069,,
209,test_073,,
210,test_075,,
211,test_082,,
212,test_084,,
213,test_090,,
214,test_094,,
215,test_097,,
216,test_099,,
217,test_102,,
218,test_104,,
219,test_105,,
220,test_108,,
221,test_110,,
222,test_113,,
223,test_114,,
224,test_116,,
225,test_117,,
226,test_121,,
227,test_122,,
228,tumor_001,,
229,tumor_002,,
230,tumor_004,,
231,tumor_005,,
232,tumor_006,,
233,tumor_007,,
234,tumor_008,,
235,tumor_009,,
236,tumor_010,,
237,tumor_012,,
238,tumor_013,,
239,tumor_014,,
240,tumor_015,,
241,tumor_016,,
242,tumor_017,,
243,tumor_018,,
244,tumor_019,,
245,tumor_020,,
246,tumor_022,,
247,tumor_023,,
248,tumor_025,,
249,tumor_026,,
250,tumor_027,,
251,tumor_029,,
252,tumor_030,,
253,tumor_031,,
254,tumor_032,,
255,tumor_033,,
256,tumor_035,,
257,tumor_036,,
258,tumor_037,,
259,tumor_039,,
260,tumor_040,,
261,tumor_041,,
262,tumor_042,,
263,tumor_043,,
264,tumor_044,,
265,tumor_045,,
266,tumor_046,,
267,tumor_047,,
268,tumor_049,,
269,tumor_050,,
270,tumor_051,,
271,tumor_052,,
272,tumor_053,,
273,tumor_054,,
274,tumor_055,,
275,tumor_057,,
276,tumor_058,,
277,tumor_059,,
278,tumor_060,,
279,tumor_061,,
280,tumor_063,,
281,tumor_064,,
282,tumor_065,,
283,tumor_066,,
284,tumor_067,,
285,tumor_068,,
286,tumor_070,,
287,tumor_071,,
288,tumor_073,,
289,tumor_074,,
290,tumor_076,,
291,tumor_077,,
292,tumor_078,,
293,tumor_079,,
294,tumor_080,,
295,tumor_081,,
296,tumor_082,,
297,tumor_083,,
298,tumor_084,,
299,tumor_085,,
300,tumor_086,,
301,tumor_087,,
302,tumor_090,,
303,tumor_091,,
304,tumor_092,,
305,tumor_093,,
306,tumor_094,,
307,tumor_095,,
308,tumor_096,,
309,tumor_097,,
310,tumor_099,,
311,tumor_100,,
312,tumor_101,,
313,tumor_103,,
314,tumor_107,,
315,tumor_108,,
316,tumor_109,,
317,tumor_110,,
318,tumor_111,,
