,train,val,test
181,test_118,,
182,test_119,,
183,test_120,,
184,test_124,,
185,test_125,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_002,,
192,test_004,,
193,test_008,,
194,test_010,,
195,test_013,,
196,test_016,,
197,test_021,,
198,test_029,,
199,test_030,,
200,test_033,,
201,test_038,,
202,test_040,,
203,test_046,,
204,test_048,,
205,test_051,,
206,test_052,,
207,test_061,,
208,test_064,,
209,test_066,,
210,test_068,,
211,test_071,,
212,test_073,,
213,test_074,,
214,test_079,,
215,test_082,,
216,test_084,,
217,test_092,,
218,test_094,,
219,test_097,,
220,test_099,,
221,test_104,,
222,test_105,,
223,test_108,,
224,test_113,,
225,test_114,,
226,test_116,,
227,test_117,,
228,test_121,,
229,test_122,,
230,tumor_001,,
231,tumor_003,,
232,tumor_004,,
233,tumor_005,,
234,tumor_006,,
235,tumor_007,,
236,tumor_008,,
237,tumor_010,,
238,tumor_011,,
239,tumor_014,,
240,tumor_015,,
241,tumor_016,,
242,tumor_017,,
243,tumor_018,,
244,tumor_023,,
245,tumor_024,,
246,tumor_026,,
247,tumor_028,,
248,tumor_029,,
249,tumor_030,,
250,tumor_032,,
251,tumor_033,,
252,tumor_034,,
253,tumor_035,,
254,tumor_036,,
255,tumor_037,,
256,tumor_038,,
257,tumor_040,,
258,tumor_041,,
259,tumor_042,,
260,tumor_044,,
261,tumor_045,,
262,tumor_046,,
263,tumor_047,,
264,tumor_048,,
265,tumor_049,,
266,tumor_050,,
267,tumor_051,,
268,tumor_052,,
269,tumor_053,,
270,tumor_054,,
271,tumor_055,,
272,tumor_056,,
273,tumor_057,,
274,tumor_058,,
275,tumor_059,,
276,tumor_060,,
277,tumor_062,,
278,tumor_063,,
279,tumor_064,,
280,tumor_065,,
281,tumor_067,,
282,tumor_068,,
283,tumor_069,,
284,tumor_070,,
285,tumor_071,,
286,tumor_073,,
287,tumor_074,,
288,tumor_075,,
289,tumor_076,,
290,tumor_077,,
291,tumor_078,,
292,tumor_079,,
293,tumor_080,,
294,tumor_082,,
295,tumor_083,,
296,tumor_084,,
297,tumor_085,,
298,tumor_086,,
299,tumor_087,,
300,tumor_088,,
301,tumor_089,,
302,tumor_090,,
303,tumor_091,,
304,tumor_094,,
305,tumor_095,,
306,tumor_096,,
307,tumor_097,,
308,tumor_098,,
309,tumor_100,,
310,tumor_101,,
311,tumor_102,,
312,tumor_103,,
313,tumor_104,,
314,tumor_105,,
315,tumor_108,,
316,tumor_109,,
317,tumor_110,,
318,tumor_111,,
