,train,val,test
172,test_096,,
173,test_098,,
174,test_100,,
175,test_101,,
176,test_103,,
177,test_106,,
178,test_109,,
179,test_111,,
180,test_112,,
181,test_115,,
182,test_118,,
183,test_119,,
184,test_120,,
185,test_123,,
186,test_125,,
187,test_126,,
188,test_127,,
189,test_128,,
190,test_129,,
191,test_001,,
192,test_002,,
193,test_004,,
194,test_010,,
195,test_011,,
196,test_016,,
197,test_026,,
198,test_027,,
199,test_030,,
200,test_033,,
201,test_038,,
202,test_048,,
203,test_051,,
204,test_052,,
205,test_061,,
206,test_064,,
207,test_066,,
208,test_068,,
209,test_071,,
210,test_073,,
211,test_074,,
212,test_075,,
213,test_079,,
214,test_082,,
215,test_094,,
216,test_097,,
217,test_099,,
218,test_104,,
219,test_105,,
220,test_108,,
221,test_110,,
222,test_113,,
223,test_114,,
224,test_117,,
225,test_121,,
226,test_122,,
227,tumor_001,,
228,tumor_002,,
229,tumor_003,,
230,tumor_004,,
231,tumor_005,,
232,tumor_006,,
233,tumor_007,,
234,tumor_008,,
235,tumor_009,,
236,tumor_010,,
237,tumor_011,,
238,tumor_015,,
239,tumor_017,,
240,tumor_018,,
241,tumor_019,,
242,tumor_020,,
243,tumor_021,,
244,tumor_022,,
245,tumor_024,,
246,tumor_025,,
247,tumor_026,,
248,tumor_027,,
249,tumor_028,,
250,tumor_029,,
251,tumor_030,,
252,tumor_031,,
253,tumor_033,,
254,tumor_034,,
255,tumor_036,,
256,tumor_038,,
257,tumor_039,,
258,tumor_040,,
259,tumor_041,,
260,tumor_043,,
261,tumor_044,,
262,tumor_046,,
263,tumor_047,,
264,tumor_048,,
265,tumor_049,,
266,tumor_051,,
267,tumor_052,,
268,tumor_053,,
269,tumor_054,,
270,tumor_055,,
271,tumor_056,,
272,tumor_057,,
273,tumor_058,,
274,tumor_060,,
275,tumor_062,,
276,tumor_063,,
277,tumor_064,,
278,tumor_065,,
279,tumor_066,,
280,tumor_067,,
281,tumor_068,,
282,tumor_069,,
283,tumor_070,,
284,tumor_071,,
285,tumor_072,,
286,tumor_074,,
287,tumor_075,,
288,tumor_076,,
289,tumor_077,,
290,tumor_078,,
291,tumor_079,,
292,tumor_080,,
293,tumor_081,,
294,tumor_082,,
295,tumor_083,,
296,tumor_084,,
297,tumor_087,,
298,tumor_088,,
299,tumor_089,,
300,tumor_090,,
301,tumor_091,,
302,tumor_092,,
303,tumor_094,,
304,tumor_095,,
305,tumor_096,,
306,tumor_097,,
307,tumor_098,,
308,tumor_099,,
309,tumor_100,,
310,tumor_101,,
311,tumor_102,,
312,tumor_103,,
313,tumor_105,,
314,tumor_106,,
315,tumor_107,,
316,tumor_108,,
317,tumor_110,,
318,tumor_111,,
