,train,val,test
146,normal_064,,
147,normal_065,,
148,normal_066,,
149,normal_067,,
150,normal_068,,
151,normal_069,,
152,normal_071,,
153,normal_072,,
154,normal_073,,
155,normal_074,,
156,normal_075,,
157,normal_076,,
158,normal_077,,
159,normal_078,,
160,normal_079,,
161,normal_080,,
162,normal_081,,
163,normal_082,,
164,normal_083,,
165,normal_084,,
166,normal_085,,
167,normal_087,,
168,normal_088,,
169,normal_089,,
170,normal_091,,
171,normal_092,,
172,normal_093,,
173,normal_094,,
174,normal_096,,
175,normal_098,,
176,normal_099,,
177,normal_100,,
178,normal_102,,
179,normal_103,,
180,normal_104,,
181,normal_105,,
182,normal_106,,
183,normal_108,,
184,normal_110,,
185,normal_111,,
186,normal_113,,
187,normal_114,,
188,normal_115,,
189,normal_117,,
190,normal_118,,
191,normal_120,,
192,normal_121,,
193,normal_122,,
194,normal_124,,
195,normal_126,,
196,normal_127,,
197,normal_128,,
198,normal_129,,
199,normal_130,,
200,normal_131,,
201,normal_132,,
202,normal_133,,
203,normal_134,,
204,normal_135,,
205,normal_136,,
206,normal_137,,
207,normal_139,,
208,normal_140,,
209,normal_141,,
210,normal_142,,
211,normal_143,,
212,normal_144,,
213,normal_145,,
214,normal_146,,
215,normal_147,,
216,normal_148,,
217,normal_149,,
218,normal_150,,
219,normal_152,,
220,normal_153,,
221,normal_154,,
222,normal_155,,
223,normal_156,,
224,normal_157,,
225,normal_158,,
226,normal_159,,
227,normal_160,,
228,tumor_002,,
229,tumor_003,,
230,tumor_005,,
231,tumor_006,,
232,tumor_007,,
233,tumor_008,,
234,tumor_010,,
235,tumor_011,,
236,tumor_013,,
237,tumor_014,,
238,tumor_016,,
239,tumor_018,,
240,tumor_019,,
241,tumor_021,,
242,tumor_022,,
243,tumor_023,,
244,tumor_024,,
245,tumor_027,,
246,tumor_028,,
247,tumor_029,,
248,tumor_030,,
249,tumor_031,,
250,tumor_034,,
251,tumor_035,,
252,tumor_036,,
253,tumor_037,,
254,tumor_038,,
255,tumor_039,,
256,tumor_041,,
257,tumor_043,,
258,tumor_044,,
259,tumor_045,,
260,tumor_046,,
261,tumor_047,,
262,tumor_048,,
263,tumor_049,,
264,tumor_050,,
265,tumor_051,,
266,tumor_052,,
267,tumor_053,,
268,tumor_054,,
269,tumor_055,,
270,tumor_057,,
271,tumor_058,,
272,tumor_059,,
273,tumor_060,,
274,tumor_061,,
275,tumor_062,,
276,tumor_063,,
277,tumor_064,,
278,tumor_065,,
279,tumor_066,,
280,tumor_067,,
281,tumor_069,,
282,tumor_070,,
283,tumor_072,,
284,tumor_073,,
285,tumor_074,,
286,tumor_076,,
287,tumor_077,,
288,tumor_078,,
289,tumor_079,,
290,tumor_080,,
291,tumor_081,,
292,tumor_082,,
293,tumor_083,,
294,tumor_084,,
295,tumor_085,,
296,tumor_086,,
297,tumor_087,,
298,tumor_088,,
299,tumor_090,,
300,tumor_091,,
301,tumor_092,,
302,tumor_093,,
303,tumor_094,,
304,tumor_096,,
305,tumor_097,,
306,tumor_098,,
307,tumor_099,,
308,tumor_100,,
309,tumor_101,,
310,tumor_102,,
311,tumor_104,,
312,tumor_105,,
313,tumor_106,,
314,tumor_107,,
315,tumor_108,,
316,tumor_109,,
317,tumor_110,,
318,tumor_111,,
